file,row_index,target_value,value_type,data_Marital status,data_Application mode,data_Application order,data_Course,data_Daytime/evening attendance	,data_Previous qualification,data_Previous qualification (grade),data_Nacionality,data_Mother's qualification,data_Father's qualification,data_Mother's occupation,data_Father's occupation,data_Admission grade,data_Displaced,data_Educational special needs,data_Debtor,data_Tuition fees up to date,data_Gender,data_Scholarship holder,data_Age at enrollment,data_International,data_Curricular units 1st sem (credited),data_Curricular units 1st sem (enrolled),data_Curricular units 1st sem (evaluations),data_Curricular units 1st sem (approved),data_Curricular units 1st sem (grade),data_Curricular units 1st sem (without evaluations),data_Curricular units 2nd sem (credited),data_Curricular units 2nd sem (enrolled),data_Curricular units 2nd sem (evaluations),data_Curricular units 2nd sem (approved),data_Curricular units 2nd sem (grade),data_Curricular units 2nd sem (without evaluations),data_Unemployment rate,data_Inflation rate,data_GDP,data_Target,data_First_Sem_Success_Rate,data_Second_Sem_Success_Rate
train_cleaned.csv,0,0.999999000001,float64,1,43,1.0,9238.0,1,1,120.0,1,2,1,1.0,2.0,118.6,0,0,0,1,1,0,21,0,0,10,14,10.0,12.4,0,0,10,13,10,11.8,0,13.9,-0.3,0.79,Graduate,0.999999000001,0.999999000001
train_cleaned.csv,98,0.999999000001,float64,1,1,1.0,8378.5,1,1,150.0,1,3,3,2.0,5.0,154.6,1,0,0,1,0,0,19,0,0,10,13,10.5,12.333333333333334,0,0,10,12,10,12.727272727272728,0,8.9,1.4,3.51,Dropout,1.04999895000105,0.999999000001
train_cleaned.csv,104,0.999999000001,float64,1,39,1.0,9130.0,1,1,129.0,1,3,3,2.0,2.0,155.3,1,0,0,1,0,0,27,0,0,6,9,5.0,13.0,0,0,10,13,10,12.9,0,12.4,0.5,1.79,Dropout,0.8333319444467593,0.999999000001
train_cleaned.csv,133,0.999999000001,float64,1,39,1.0,9003.0,1,1,160.0,1,3,3,4.0,2.0,160.55,0,0,0,1,1,0,24,0,0,10,16,6.0,12.166666666666666,0,0,10,14,10,13.3,0,12.4,0.5,1.79,Dropout,0.5999994000006,0.999999000001
train_cleaned.csv,215,0.999999000001,float64,1,7,1.0,9500.0,1,1,120.0,1,37,19,9.0,7.0,120.0,1,0,0,1,0,0,34,0,0,10,11,10.5,12.7,0,0,10,12,10,12.96818181818182,0,13.9,-0.3,0.79,Enrolled,1.04999895000105,0.999999000001
train_cleaned.csv,298,0.999999000001,float64,1,1,1.0,8378.5,1,1,133.1,1,19,38,9.0,8.0,128.2,1,0,0,1,1,1,19,0,0,10,12,10.5,13.333333333333334,0,0,10,15,10,12.818181818181818,0,8.9,1.4,3.51,Enrolled,1.04999895000105,0.999999000001
train_cleaned.csv,425,0.999999000001,float64,1,43,1.0,9003.0,1,1,130.0,1,37,1,5.0,4.0,130.0,0,0,0,1,1,0,25,0,0,10,16,8.0,12.5,0,0,10,16,10,11.6,0,15.5,2.8,-4.06,Dropout,0.7999992000008,0.999999000001
train_cleaned.csv,491,0.999999000001,float64,1,43,1.0,9991.0,1,1,130.0,1,3,3,1.0,1.0,130.0,0,0,0,1,0,0,34,0,0,10,14,10.0,14.636363636363637,0,0,10,13,10,14.6,0,16.2,0.3,-0.92,Graduate,0.999999000001,0.999999000001
train_cleaned.csv,545,0.999999000001,float64,1,42,1.0,9070.0,1,1,102.5,1,3,2,2.0,2.0,115.9,0,0,0,1,0,0,29,0,0,10,15,9.0,11.555555555555555,0,0,10,16,10,11.9,0,9.4,-0.8,-3.12,Enrolled,0.8999991000009,0.999999000001
train_cleaned.csv,620,0.999999000001,float64,1,57,1.0,9991.0,1,1,133.1,1,38,37,4.0,6.0,100.0,0,0,0,1,0,0,34,0,0,10,11,7.0,13.428571428571429,0,0,10,11,10,11.6,0,8.9,1.4,3.51,Graduate,0.6999993000007,0.999999000001
