mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21106820106506347,0.0375633977758858,0.0043677806854248045,0.0004020090019792246,relu,0.0001,32,"(50,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6291867308721241,0.5925767275092612,0.6086288173806108,0.6311305829378119,0.46900244656788076,0.5861050610535378,0.06024209870261965,91
0.158950138092041,0.04540221552865473,0.004138326644897461,0.00030654905950803525,relu,0.0001,32,"(50,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.675768942235559,0.5847818993935712,0.6345697536464513,0.654617210982294,0.541941575827118,0.6183358764169987,0.048662900846054485,44
0.24108448028564453,0.11113260106645505,0.004198217391967773,0.0002765277557197161,relu,0.0001,32,"(100,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6733766233766234,0.5388418079096046,0.6254693666154374,0.6503478125179655,0.5494219492648401,0.6074915119368942,0.054010313162805426,69
0.17521219253540038,0.037895829801033405,0.0043447017669677734,8.143633220961871e-05,relu,0.0001,32,"(100,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6523809523809524,0.6545085169557744,0.6275330949243992,0.6368190532163497,0.47727272727272724,0.6097028689500406,0.06696254435232281,66
0.3172579765319824,0.06207994906741217,0.004481840133666992,0.00022769223456492514,relu,0.0001,32,"(50, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6464576074332172,0.5890243902439024,0.6302097804076463,0.6077497665732959,0.5920080433969322,0.6130899176109988,0.022174781474402324,56
0.20671825408935546,0.047388089701258664,0.0044667720794677734,0.00011062591240280863,relu,0.0001,32,"(50, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.649970605526161,0.5883378475140874,0.6509302663148816,0.619220309604925,0.5462261503928171,0.6109370358705745,0.03972382831217198,63
0.30619306564331056,0.07576542219010163,0.0044098377227783205,5.874498322398834e-05,relu,0.0001,32,"(100, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6650488709133805,0.5519666953775481,0.6310088840209321,0.6020131031305392,0.4928104575163399,0.5885696021917479,0.06056481731183315,87
0.29198174476623534,0.0823117814376993,0.004431247711181641,6.63980975235107e-05,relu,0.0001,32,"(100, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6888127051101735,0.6174025974025974,0.624150355438699,0.6561507936507937,0.6350987253839168,0.644323035397236,0.025830065699589032,10
0.14173178672790526,0.03943582613178146,0.004244184494018555,0.00015453619178724414,relu,0.0001,64,"(50,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6425296925296925,0.5726378356220536,0.5002929907595223,0.6050135501355013,0.46900244656788076,0.55789530312293,0.06452971047883148,127
0.09383244514465332,0.02661714122186694,0.004114675521850586,4.080689824555491e-05,relu,0.0001,64,"(50,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6410338359453177,0.5792855268205036,0.6101121689668879,0.6184260852935551,0.5055315865165386,0.5908778407085606,0.047037971613031616,83
0.10620617866516113,0.041131863235976104,0.004144477844238281,7.470235077526183e-05,relu,0.0001,64,"(100,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.613204698493221,0.5567760273642627,0.6059525199202757,0.580509700451897,0.517124365679279,0.5747134623817871,0.035012300647239064,104
0.1459892749786377,0.04026231177811525,0.004149627685546875,5.711215418821026e-05,relu,0.0001,64,"(100,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6517099567099567,0.6300308341447582,0.6783663874493185,0.6533353425758489,0.6781487598972262,0.6583182561554217,0.01824200504518536,1
0.1927724838256836,0.028404414620635407,0.004244756698608398,7.029514561132269e-05,relu,0.0001,64,"(50, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6465061120233534,0.5890243902439024,0.5579926543781966,0.5287637698898409,0.4944863215584742,0.5633546496187535,0.052040806771194686,120
0.15794916152954103,0.05544518282086997,0.004151773452758789,0.00011642205524998795,relu,0.0001,64,"(50, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6503804840681098,0.6151523905821176,0.6688887804930924,0.6124590071042547,0.638751987281399,0.6371265299057947,0.021347128402517367,17
0.20154867172241211,0.07071983746865991,0.004141950607299804,0.0002162216293047341,relu,0.0001,64,"(100, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.5443455737978861,0.5819746221352647,0.6310088840209321,0.6489367035831993,0.4976713240186294,0.5807874215111822,0.055505357067623676,98
0.1871192455291748,0.07576174361415743,0.004177379608154297,0.0002449271359345162,relu,0.0001,64,"(100, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6490644571517485,0.6164189898857743,0.6113224017421452,0.6148375648375648,0.6162593984962407,0.6215805624226947,0.013863758242589482,37
