交叉驗證最佳迭代次數: 48
交叉驗證最佳分數: 0.6085

詳細CV結果:
    train-mlogloss-mean  train-mlogloss-std  test-mlogloss-mean  test-mlogloss-std
0              1.027289            0.000653            1.031381           0.000641
1              0.967388            0.001516            0.975873           0.001615
2              0.915889            0.002125            0.927790           0.002534
3              0.872520            0.002681            0.887274           0.003231
4              0.833775            0.002988            0.852359           0.003745
5              0.800370            0.003073            0.822786           0.004877
6              0.769859            0.003357            0.796460           0.006256
7              0.744244            0.003528            0.774231           0.007245
8              0.721125            0.003589            0.753740           0.007811
9              0.699760            0.003660            0.736150           0.008563
10             0.681759            0.003569            0.721230           0.009544
11             0.664463            0.003596            0.707280           0.010342
12             0.649638            0.003725            0.695707           0.011098
13             0.635319            0.003679            0.685051           0.011494
14             0.622526            0.003907            0.675866           0.012431
15             0.611725            0.003930            0.668140           0.013340
16             0.602368            0.003955            0.661202           0.013617
17             0.593509            0.004078            0.655229           0.013915
18             0.585555            0.003991            0.649813           0.014462
19             0.578293            0.003835            0.644853           0.015027
20             0.571084            0.003778            0.640318           0.015423
21             0.564418            0.003604            0.636284           0.016311
22             0.558262            0.003775            0.633090           0.016497
23             0.552582            0.003815            0.630077           0.017284
24             0.547002            0.003921            0.627278           0.017327
25             0.542098            0.003874            0.624790           0.017683
26             0.537287            0.003671            0.622696           0.017949
27             0.533427            0.003732            0.620655           0.018024
28             0.529448            0.003789            0.619056           0.018394
29             0.525650            0.003683            0.617269           0.018714
30             0.522174            0.003606            0.616166           0.019125
31             0.518964            0.003600            0.614972           0.019459
32             0.516037            0.003566            0.613940           0.019612
33             0.512826            0.003625            0.612619           0.019819
34             0.510672            0.003589            0.612203           0.020003
35             0.507750            0.003408            0.611477           0.020390
36             0.505190            0.003399            0.610906           0.020547
37             0.502844            0.003394            0.610524           0.020834
38             0.500704            0.003315            0.610449           0.021185
39             0.498223            0.003239            0.610064           0.021453
40             0.495722            0.003194            0.609562           0.021862
41             0.493472            0.003257            0.609415           0.022105
42             0.491142            0.003206            0.609101           0.022057
43             0.489299            0.003212            0.609271           0.022353
44             0.486768            0.003346            0.609111           0.022241
45             0.485380            0.003270            0.608822           0.022417
46             0.483543            0.003379            0.608685           0.022658
47             0.481948            0.003314            0.608487           0.022130
